File: Eq_neg_cfg1.bpc
Orientation=LEFT
------------------------------------------------------------------------
#	Position	Value	Chip	x	y	X	Y
-	--------	-----	----	-	-	-	-
1	18291		0x01	0	115	71	440	140
2	18292		0x01	0	116	71	440	139
3	24812		0x01	0	236	96	415	19
4	27664		0x01	0	16	108	403	239
5	31014		0x01	0	38	121	390	217
6	32997		0x01	0	229	128	383	26
7	33844		0x01	0	52	132	379	203
8	35918		0x01	0	78	140	371	177
9	38712		0x01	0	56	151	360	199
10	43010		0x01	0	2	168	343	253
11	43784		0x01	0	8	171	340	247
12	46100		0x01	0	20	180	331	235
13	52406		0x01	0	182	204	307	73
14	58784		0x01	0	160	229	282	95
15	65489		0x01	0	209	255	256	46
16	65922		0x01	1	130	1	1	130
17	67304		0x01	1	232	6	6	232
18	67990		0x01	1	150	9	9	150
19	68175		0x01	1	79	10	10	79
20	68213		0x01	1	117	10	10	117
21	68615		0x01	1	7	12	12	7
22	68990		0x17	1	126	13	13	126
23	69260		0x01	1	140	14	14	140
24	71442		0x01	1	18	23	23	18
25	71572		0x17	1	148	23	23	148
26	71628		0x01	1	204	23	23	204
27	71820		0x01	1	140	24	24	140
28	72828		0x01	1	124	28	28	124
29	73108		0x0F	1	148	29	29	148
30	73759		0x01	1	31	32	32	31
31	75545		0x01	1	25	39	39	25
32	77143		0x01	1	87	45	45	87
33	78213		0x01	1	133	49	49	133
34	79783		0x01	1	167	55	55	167
35	80146		0x01	1	18	57	57	18
36	80992		0x01	1	96	60	60	96
37	81644		0x01	1	236	62	62	236
38	82365		0x01	1	189	65	65	189
39	82366		0x01	1	190	65	65	190
40	82572		0x01	1	140	66	66	140
41	82732		0x01	1	44	67	67	44
42	83404		0x01	1	204	69	69	204
43	83420		0x01	1	220	69	69	220
44	83941		0x01	1	229	71	71	229
45	84120		0x01	1	152	72	72	152
46	84153		0x01	1	185	72	72	185
47	84390		0x01	1	166	73	73	166
48	84599		0x01	1	119	74	74	119
49	84969		0x01	1	233	75	75	233
50	85100		0x01	1	108	76	76	108
51	85196		0x01	1	204	76	76	204
52	85392		0x17	1	144	77	77	144
53	85502		0x01	1	254	77	77	254
54	86186		0x01	1	170	80	80	170
55	86668		0x01	1	140	82	82	140
56	87214		0x01	1	174	84	84	174
57	87700		0x01	1	148	86	86	148
58	88332		0x01	1	12	89	89	12
59	89267		0x01	1	179	92	92	179
60	89731		0x01	1	131	94	94	131
61	90224		0x01	1	112	96	96	112
62	90329		0x01	1	217	96	96	217
63	90584		0x01	1	216	97	97	216
64	91976		0x01	1	72	103	103	72
65	92131		0x01	1	227	103	103	227
66	92153		0x01	1	249	103	103	249
67	92763		0x01	1	91	106	106	91
68	92796		0x01	1	124	106	106	124
69	92890		0x01	1	218	106	106	218
70	93641		0x01	1	201	109	109	201
71	93916		0x01	1	220	110	110	220
72	94095		0x01	1	143	111	111	143
73	94455		0x01	1	247	112	112	247
